scenario_id,cat,desc,unit,value,change_ind,notes
scen_0001,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0001,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0001,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0001,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0001,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0001,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0001,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0001,pesticide,chateau,oz/ac,4,n,NA
scen_0001,pesticide,chateau,oz/ac,4,n,NA
scen_0001,pesticide,chateau,oz/ac,4,n,NA
scen_0001,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0001,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0001,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0001,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0001,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0001,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0001,field ops,disk,pass/stand life,1,n,NA
scen_0001,field ops,disk,pass/stand life,1,n,NA
scen_0001,field ops,roll,pass/stand life,2,n,NA
scen_0001,field ops,roll,pass/stand life,1,n,NA
scen_0001,field ops,chisel,pass/stand life,1,n,NA
scen_0001,field ops,laser level,pass/stand life,1,n,NA
scen_0001,field ops,disk border ridges,pass/stand life,1,n,NA
scen_0001,field ops,"fertilize, map",pass/stand life,1,n,NA
scen_0001,field ops,"fertilize, map",pass/stand life,1,n,NA
scen_0001,field ops,disk,pass/stand life,1,n,NA
scen_0001,field ops,disk,pass/stand life,1,n,NA
scen_0001,field ops,roll,pass/stand life,2,n,NA
scen_0001,field ops,roll,pass/stand life,1,n,NA
scen_0001,field ops,plant,pass/stand life,1,n,NA
scen_0001,field ops,weed control,pass/stand life,1,n,NA
scen_0001,field ops,weed control,pass/stand life,3,n,NA
scen_0001,field ops,weed control,pass/stand life,3,n,NA
scen_0001,field ops,weed control,pass/stand life,3,n,NA
scen_0001,field ops,weed control,pass/stand life,1,n,NA
scen_0001,field ops,weed control,pass/stand life,3,n,NA
scen_0001,field ops,weed control,pass/stand life,3,n,NA
scen_0001,field ops,weed control,pass/stand life,3,n,NA
scen_0001,field ops,insect control,pass/stand life,3,n,NA
scen_0001,field ops,insect control,pass/stand life,3,n,NA
scen_0001,field ops,insect control,pass/stand life,3,n,NA
scen_0001,field ops,insect control,pass/stand life,3,n,NA
scen_0001,field ops,"fertilize, map",pass/stand life,1,n,NA
scen_0001,field ops,"fertilize, map",pass/stand life,1,n,NA
scen_0001,field ops,weed control,pass/stand life,1,n,NA
scen_0001,field ops,weed control,pass/stand life,3,n,NA
scen_0001,field ops,weed control,pass/stand life,3,n,NA
scen_0001,field ops,weed control,pass/stand life,3,n,NA
scen_0001,field ops,weed control,pass/stand life,1,n,NA
scen_0001,field ops,weed control,pass/stand life,3,n,NA
scen_0001,field ops,weed control,pass/stand life,3,n,NA
scen_0001,field ops,weed control,pass/stand life,3,n,NA
scen_0001,field ops,stand termination,pass/stand life,1,n,NA
scen_0001,harvest ops,"haylage, cut",pass/harvest,1,n,NA
scen_0001,harvest ops,"haylage, chop",pass/harvest,1,n,NA
scen_0001,harvest ops,"hay, swath",pass/harvest,1,n,NA
scen_0001,harvest ops,"hay, rake",pass/harvest,1,n,NA
scen_0001,harvest ops,"hay, bale",pass/harvest,1,n,NA
scen_0001,harvest ops,"hay, stack",pass/harvest,1,n,NA
scen_0001,n2o direct,fraction of dm not harvested,frac,0.1,n,NA
scen_0001,n2o direct,kg of n per kg dm,frac,0.027,n,NA
scen_0001,n2o direct,kg roots per kg dm harvested,frac,0.4,n,NA
scen_0001,n2o direct,kg n per kg root dm,frac,0.019,n,NA
scen_0001,n2o direct,kg n-n2o emitted per kg applied/residue n,frac,0.005,n,NA
scen_0001,n2o indirect,"kg n volatized per kg synthetic n, urea",frac,0.15,n,NA
scen_0001,n2o indirect,"kg n volatized per kg synthetic n, ammonium",frac,0.08,n,NA
scen_0001,n2o indirect,"kg n volatized per kg synthetic n, nitrate",frac,0.01,n,NA
scen_0001,n2o indirect,"kg n volatized per kg synthetic n, ammonium-nitrate",frac,0.05,n,NA
scen_0001,n2o indirect,"kg n volatized per kg organic n, organic",frac,0.21,n,NA
scen_0001,n2o indirect,kg n-n2o per kg n volatalized,frac,0.005,n,NA
scen_0001,n2o indirect,kg n leached per kg n,frac,0.24,n,NA
scen_0001,n2o indirect,kg n-n2o per kg n leached,frac,0.011,n,NA
scen_0001,carbon credit,county,NA,tulare,n,NA
scen_0001,carbon credit,practice,NA,conservation crop rotation (cps 328) - basic rotation,n,NA
scen_0001,fertilizer avoidance,type of fertilizer avoided,NA,uan-32,n,NA
scen_0001,fertilizer avoidance,"avoided fertilizer, wheat",lb n/ac,80,n,NA
scen_0001,fertilizer avoidance,"avoided fertilizer, tomatoes",lb n/ac,170,n,NA
scen_0001,fuel,chisel,l diesel/ha,11.69240525,n,NA
scen_0001,fuel,disk,l diesel/ha,7.0154433,n,NA
scen_0001,fuel,disk border ridges,l diesel/ha,7.0154433,n,NA
scen_0001,fuel,laser level,l diesel/ha,8.418531,n,NA
scen_0001,fuel,plant,l diesel/ha,5.0511193,n,NA
scen_0001,fuel,roll,l diesel/ha,3.383002567,n,NA
scen_0001,fuel,stand termination,l diesel/ha,7.0154433,n,NA
scen_0001,fuel,weed control,l diesel/ha,1.2160101,n,NA
scen_0001,fuel,insect control,l diesel/ha,1.2160101,n,NA
scen_0001,fuel,"fertilize, map",l diesel/ha,1.2160101,n,NA
scen_0001,fuel,"haylage, cut",l diesel/ha,3.2738733,n,NA
scen_0001,fuel,"haylage, chop",l diesel/ha,6.828365,n,NA
scen_0001,fuel,"hay, swath",l diesel/ha,6.828365,n,NA
scen_0001,fuel,"hay, rake",l diesel/ha,3.2738733,n,NA
scen_0001,fuel,"hay, bale",l diesel/ha,3.554491,n,NA
scen_0001,fuel,"hay, stack",l diesel/ha,6.828365,n,NA
scen_0001,pesticide manufacture,flumioxazin,mj/kg ai,264.5,n,NA
scen_0001,pesticide manufacture,chlorantraniliprole,mj/kg ai,214,n,NA
scen_0001,pesticide manufacture,paraquat,mj/kg ai,459.4,n,NA
scen_0001,pesticide manufacture,pendimethalin,mj/kg ai,264.5,n,NA
scen_0001,pesticide manufacture,glyphosate,mj/kg ai,454,n,NA
scen_0001,pesticide manufacture,lambda-cyhalothrin,mj/kg ai,214,n,NA
scen_0001,seed manufacture,seed yield,lbs/ac,500,n,NA
scen_0001,energy source,irrigation,NA,diesel,n,NA
scen_0001,energy source,"fuel, field ops",NA,diesel,n,NA
scen_0001,energy source,"fuel, harvest",NA,diesel,n,NA
scen_0001,data source,fuel energy content,NA,epa,n,NA
scen_0001,data source,ghg from fuel,NA,epa,n,NA
scen_0001,gwp,timespan,years,100,n,NA
